stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-24T12:08:51.911Z,34,1,1,1,2,45721,0.114,401061
2018-08-24T12:08:53.852Z,470,97,145,755,4,957955,0.510,1878343
2018-08-24T12:08:55.523Z,295,50,100,48,4,219313,0.218,1006023
2018-08-24T12:09:00.652Z,10012,1518,1518,1518,1,4717987,2.342,2014512
2018-08-24T12:09:01.077Z,9,3,6,12,2,27513,0.078,352731
2018-08-24T12:09:01.742Z,43,2,4,8,2,41284,0.092,448739
2018-08-24T12:09:02.342Z,22,17,17,17,2,72912,0.122,597639
2018-08-24T12:09:02.868Z,17,5,5,5,2,48552,0.106,458038
2018-08-24T12:09:03.514Z,22,1,6,18,3,24597,0.083,296349
2018-08-24T12:09:04.743Z,43,1,2,2,1,31812,0.086,369907
2018-08-24T12:09:05.806Z,52,2,32,120,4,42571,0.096,443448
2018-08-24T12:09:06.615Z,14,2,2,2,1,25965,0.085,305471
2018-08-24T12:09:06.992Z,104,6,6,6,1,43603,0.090,484478
2018-08-24T12:09:07.588Z,1004,92,92,92,1,391103,0.276,1417040
2018-08-24T12:09:10.379Z,10004,966,966,966,1,3881636,2.295,1691345
2018-08-24T12:09:10.837Z,54,2,8,18,2,38034,0.083,458241
2018-08-24T12:09:11.335Z,124,6,23,48,2,70305,0.104,676010
2018-08-24T12:09:12.678Z,1686,92,355,712,2,805051,0.457,1761600
2018-08-24T12:09:17.113Z,17278,966,3682,7366,2,8124546,3.926,2069421
2018-08-24T12:11:28.835Z,9008,1,2999,5998,2,1941074,1.097,1769438
2018-08-24T12:11:29.490Z,57,16,32,64,2,200690,0.155,1294774
2018-08-24T12:11:30.355Z,28,1,2,4,2,671816,0.375,1791509
2018-08-24T12:11:37.133Z,1004,1000,1000,1000,1,9855713,4.355,2263080
2018-08-24T12:11:38.378Z,260,8,50,307,6,467644,0.290,1612566
2018-08-24T12:11:40.341Z,630,18,237,1917,5,807247,0.537,1503253
2018-08-24T12:11:41.154Z,14,1,1,1,1,149029,0.135,1103919
2018-08-24T12:11:42.498Z,347,6,1591,18973,12,752247,0.356,2113053
2018-08-24T12:11:43.285Z,46,6,7,30,2,43151,0.088,490352
2018-08-24T12:11:44.287Z,60,1,1,1,2,80397,0.113,711478
2018-08-24T12:11:46.000Z,201,10,10,10,2,2319812,1.063,2182325
2018-08-24T12:11:46.787Z,171,1,24,70,2,39776,0.097,410062
2018-08-24T12:11:47.758Z,16,1,6,12,2,27608,0.081,340840
2018-08-24T12:11:48.068Z,13,1,2,2,1,34379,0.085,404459
2018-08-24T12:13:59.995Z,46,101,202,404,2,1216680,0.553,2200145
2018-08-24T12:14:00.425Z,29,10,13,26,2,56141,0.091,616934
2018-08-24T12:14:01.438Z,356,1,39,124,4,130132,0.147,885252
2018-08-24T12:14:02.085Z,56,1,1,1,2,61765,0.098,630255
2018-08-24T12:14:03.191Z,309,1,10,82,4,128098,0.140,914986
2018-08-24T12:14:03.779Z,30,2,4,8,4,34806,0.089,391079
2018-08-24T12:14:05.643Z,1546,47,105,330,4,1536766,1.021,1505158
2018-08-24T12:14:10.533Z,100600,117,0,0,1,5368667,4.408,1217937
2018-08-24T12:14:10.933Z,8,8,8,8,1,32378,0.081,399728
2018-08-24T12:14:11.204Z,7,7,7,7,1,26610,0.076,350132
2018-08-24T12:14:11.953Z,10,10,10,10,1,29656,0.082,361659
2018-08-24T12:14:12.374Z,12,12,13,29,2,53893,0.090,598811
2018-08-24T12:14:13.161Z,158,1,1,1,2,71536,0.126,567746
2018-08-24T12:14:13.562Z,8,8,8,8,1,31308,0.082,381805
2018-08-24T12:14:15.373Z,22,1,1,1,1,2902626,1.299,2234508
2018-08-24T12:14:16.707Z,34,1,2,4,1,32921,0.094,350223
2018-08-24T12:14:16.934Z,88,6,6,6,1,27150,0.076,357237
2018-08-24T12:14:17.745Z,29,1,1,1,1,158862,0.138,1151174
2018-08-24T12:14:18.338Z,27,1,1,1,1,114950,0.118,974153
2018-08-24T12:14:18.760Z,106,35,35,35,0,67139,0.103,651835
2018-08-24T12:14:19.813Z,59,16,91,338,3,69022,0.110,627473
2018-08-24T12:14:20.378Z,113,16,27,115,5,54809,0.103,532126
2018-08-24T12:14:21.165Z,102,1,209,218,1,78718,0.113,696619
2018-08-24T12:14:21.790Z,78,4,47,7,1,56472,0.097,582186
2018-08-24T12:14:22.353Z,13,2,2,2,1,22011,0.075,293480
2018-08-24T12:14:22.908Z,13,2,2,2,1,22181,0.078,284372
2018-08-24T12:14:23.725Z,11,2,2,2,1,21201,0.076,278961
2018-08-24T12:14:24.920Z,683,222,443,1776,4,1533524,0.701,2187623
2018-08-24T12:14:25.909Z,59,16,91,338,3,69066,0.105,657771
2018-08-24T12:14:27.286Z,1013,1,1,1,1,1396628,0.652,2142067
2018-08-24T12:14:28.042Z,288,1,12,28,2,40214,0.099,406202
2018-08-24T12:14:28.619Z,9,2,3,6,2,22020,0.079,278734
2018-08-24T12:14:28.912Z,35,101,0,0,0,27621,0.077,358714
2018-08-24T12:14:29.617Z,606,81,81,81,1,92693,0.131,707580
2018-08-24T12:14:30.100Z,608,54,54,54,1,81808,0.119,687462
2018-08-24T12:14:30.586Z,608,46,46,46,1,74880,0.121,618843
2018-08-24T12:14:31.056Z,610,19,19,19,1,54554,0.108,505130
2018-08-24T12:14:32.342Z,769,3,1,1,0,336949,0.235,1433826
2018-08-24T12:14:33.525Z,16,1,1,1,1,1254895,0.653,1921738
2018-08-24T12:14:34.302Z,26,7,21,42,4,65980,0.107,616636
2018-08-24T12:14:34.889Z,57,1,1,1,1,63530,0.106,599340
2018-08-24T12:14:35.518Z,60,2,24,88,5,49662,0.102,486882
2018-08-24T12:14:35.920Z,5,5,5,5,1,25111,0.076,330408
2018-08-24T12:14:36.391Z,20,1,7,25,5,26921,0.081,332358
2018-08-24T12:14:37.063Z,97,1,9,43,3,41098,0.111,370252
2018-08-24T12:14:37.261Z,0,0,0,0,1,12463,0.060,207717
